dia,infectados
0,1
1,2
2,5
3,8
4,12
5,16
6,21
7,28
8,34
9,41
10,54
11,69
12,77
13,90
14,105
15,115
16,127
17,130
18,136
19,147
20,153
21,168
22,175
23,188
24,197
25,218
26,239
27,244
28,257
29,272
30,283
31,295
32,309
33,322
34,335
35,354
36,373
37,377
38,397
39,410
40,427
41,449
42,452
43,470
44,497
45,521
46,534
47,558
48,586
49,604
50,607
51,639
52,657
53,664
54,673
55,686
56,712
57,722
58,727
59,749
60,757
61,765
62,796
63,788
64,786
65,780
66,769
67,771
68,756
69,750
70,738
71,725
72,727
73,720
74,712
75,702
76,683
77,669
78,670
79,661
80,646
81,636
82,625
83,589
84,569
85,552
86,528
87,508
88,466
89,445
90,428
91,411
92,395
93,374
94,351
95,326
96,307
97,290
98,278
99,262
100,256
101,241
102,225
103,209
104,199
105,193
106,183
107,171
108,160
109,150
110,142
111,136
112,132
113,126
114,122
115,121
116,114
117,111
118,107
119,99
120,94
121,88
122,85
123,83
124,79
125,75
126,72
127,69
128,67
129,63
130,59
131,56
132,53
133,51
134,50
135,46
136,44
137,43
138,40
139,38
140,36
141,35
142,35
143,34
144,31
145,31
146,29
147,28
148,26
149,25
150,23
151,23
152,21
153,20
154,16
155,15
156,13
157,13
158,11
159,11
160,11
161,11
162,10
163,9
164,9
165,8
166,8
167,8
168,8
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,7
180,6
181,5
182,5
183,4
184,4
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,3
201,3
202,3
203,3
204,3
205,3
206,3
207,3
208,3
209,3
210,3
211,3
212,3
213,3
214,3
215,2
216,2
217,2
218,2
219,2
220,2
221,1
222,1
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
